dis_1 dis_2 ang_1 e_har
1.16862 0.89255 97.40857 1.3143695926
0.95945 0.97609 104.72692 0.0081597843
0.95935 0.95966 106.05835 0.0020121531
1.063 0.8503 116.88048 0.8058511398
1.0235 1.02552 102.76196 0.2199886513
1.00624 1.16338 96.35459 1.0376210681
0.9707 0.98413 105.82415 0.0231648149
0.95307 0.84148 111.67895 0.4121484241
1.09519 0.97817 93.07115 0.5336825416
0.84154 0.85014 113.17962 0.7170713686
0.99713 0.9105 103.5005 0.1024365296
0.93987 0.93258 106.23011 0.0280047354
0.95957 0.93718 107.16368 0.0170618521
0.9797 0.99527 108.2781 0.0592599575
0.96054 0.98873 103.29738 0.0232341771
0.97893 0.98441 103.91234 0.0272103318
1.13318 1.00839 87.35442 0.9195946565
0.93972 0.98638 114.31006 0.0812125712
0.95896 0.96007 98.37636 0.0246551514
0.97777 0.94012 107.61313 0.0272309735
0.91681 0.91782 97.50941 0.1501161126
0.99421 0.90781 95.51698 0.1873199724
1.00956 0.92976 108.22067 0.1060605162
0.94484 1.01878 99.66677 0.1005165971
0.92429 1.15956 94.25381 0.9650299088
0.99111 0.9957 103.14567 0.0609925181
1.09989 0.90007 79.2293 1.4315192794
1.00752 0.95197 106.26018 0.0689395211
0.97167 0.97357 107.38548 0.0176071743
0.95941 0.95601 107.24601 0.0057141859
0.97012 0.99599 102.99367 0.0384899011
0.9864 0.98629 98.77135 0.0470233336
0.94885 0.94915 107.10508 0.0089934725
0.95546 0.95849 109.13978 0.0149174263
0.94065 0.95562 112.90007 0.0538492964
0.96247 0.96225 102.37056 0.0027916799
0.94029 0.97983 106.36072 0.0232161363
0.94105 0.9649 99.91884 0.0236216956
