dis_1 dis_2 ang_1 delta_int
0.9576 0.95648 101.8153 0.0002593892
0.89411 1.28352 98.10606 -0.0342223021
0.96637 0.95312 105.0895 0.0000709545
1.20364 0.90133 129.08309 0.1134278972
0.93176 0.93068 106.16425 -0.0032211209
0.8346 1.05567 74.63111 0.0119072794
0.99683 0.99298 96.00925 -0.0186366178
1.11055 1.04883 107.71605 0.0108378402
0.99762 1.01028 111.3281 0.0147573474
0.92186 0.87179 145.75081 -0.1218057292
0.95273 0.97275 103.18598 -0.0001992232
0.87354 1.05454 117.62086 0.0118253748
0.92733 0.96289 102.48914 0.0015802774
0.98629 0.91256 111.90845 -0.0026808306
1.00643 1.0046 99.90723 -0.0128952804
0.7959 0.85115 97.66575 0.0543711792
1.142 0.86496 112.82 0.0335629726
0.9341 0.93119 112.08005 -0.0113177520
0.90567 0.92337 79.584 0.0873282477
0.98221 0.93652 97.82837 -0.0000442268
0.9216 0.93065 114.75845 -0.0187881427
0.94028 1.05678 107.69454 0.0084273402
0.87139 0.92073 80.18048 0.1206039805
0.94059 0.95087 104.31402 -0.0000353154
0.9458 0.95611 106.53048 -0.0009768925
0.91315 0.78177 98.8621 0.0359438287
0.98829 1.01832 110.51502 0.0130000712
0.96237 0.97173 130.05482 0.0098749263
0.95017 0.95528 112.22624 -0.0025800001
0.95996 0.99128 99.07168 -0.0052705614
0.96998 0.93388 105.16245 -0.0001036967
1.00435 0.85959 101.72347 0.0060332149
0.98013 0.98067 110.2092 0.0064062626
0.91874 0.99644 102.06607 0.0008711163
0.95267 0.92226 105.72224 -0.0017564200
1.09071 0.98439 64.6517 -0.2926618485
0.98452 0.96805 95.70042 -0.0093462320
1.00765 0.94561 99.75108 -0.0045794006
0.94561 0.94686 106.32195 -0.0014749367
0.88824 1.1772 96.84447 -0.0273623128
0.89479 0.80032 119.50861 -0.0984156326
0.96053 0.94135 103.05771 0.0006211552
0.88138 0.85896 103.12446 0.0030514913
0.9702 0.97437 114.60544 0.0069793831
0.92193 0.93161 114.90764 -0.0186135710
1.09298 1.19056 118.0333 0.0770959101
0.97129 0.99444 107.94008 0.0043982557
0.95566 0.98714 105.14709 0.0006369855
0.99887 1.02006 123.91858 0.0439039626
0.95621 0.91383 106.34846 -0.0027351794
0.97398 0.95418 101.37979 -0.0008657445
1.07194 1.09008 115.4779 0.0502903978
0.96731 0.96709 108.96689 0.0020672646
0.99776 0.96656 108.58384 0.0051190672
0.96577 1.01938 118.01686 0.0224497568
0.89202 0.89936 76.40407 0.1495085125
0.95778 0.9623 91.98131 -0.0009737948
1.19421 0.88347 121.77114 0.0802711447
