dis_1 dis_2 ang_1 e_dir
1.09002 1.06003 97.13754 0.5399066199
0.97822 1.03445 117.03137 0.2640928768
0.92699 0.91874 120.51281 0.2014922179
1.02004 0.84659 98.95408 0.5531728972
0.92027 0.90319 93.22835 0.2577315949
0.94815 0.8516 88.7171 0.636583243
0.92249 0.8645 117.68294 0.3931679284
0.99825 1.11739 109.03441 0.5407108252
0.86254 0.9115 110.54313 0.3718837102
0.89383 1.11209 105.88392 0.5860479195
0.99522 0.80315 113.89226 1.0055771393
1.09406 1.05772 95.76583 0.5548966351
1.03214 0.99996 106.62806 0.1695170734
0.88208 0.96144 91.34986 0.3391077427
1.02911 0.86403 104.25765 0.4134913643
0.98298 0.96152 114.34694 0.0841329197
0.95062 1.04275 111.47779 0.2029544109
0.94281 1.16467 98.48567 0.7203994058
0.98173 0.97271 103.16261 0.0175745798
1.08925 1.00949 103.55316 0.390443255
0.7964 0.98779 118.08461 1.1367954033
1.07807 0.99169 115.64638 0.432488188
0.96913 1.01327 117.09713 0.191781775
1.087 0.93937 109.29917 0.3695080881
1.1319 0.96677 91.58158 0.588998129
0.84799 1.02009 105.87344 0.5146273811
0.89636 1.02983 102.96005 0.2363070502
0.90598 0.95664 85.43683 0.3831314277
0.94843 1.06864 98.17675 0.261041147
1.03558 1.03118 116.47587 0.3779073749
0.86082 0.9917 107.0786 0.3500348421
0.80575 0.98317 91.74089 1.0828883115
0.937 0.85388 94.35025 0.4990146253
0.9365 1.04921 102.24966 0.1901228981
1.03182 0.90402 93.07562 0.2927706272
0.8685 1.04432 113.54476 0.4863520952
0.88663 1.07397 113.24459 0.502020082
0.8315 0.93973 101.29502 0.6132776841
0.97648 1.06488 90.75001 0.3204643296
0.85336 0.98338 101.60282 0.4069733965
0.97933 0.91186 107.48503 0.0805620103
0.88716 0.92449 119.66349 0.2922642505
0.85772 0.98375 105.6619 0.3601069107
0.98031 1.13624 116.89315 0.7295332586
1.08037 0.86414 94.43637 0.6574015969
0.81831 1.03483 122.64958 1.0468748068
0.87516 1.02536 85.98796 0.5808571136
0.84261 0.99632 95.49069 0.5839855142
1.12181 1.01816 103.4776 0.5633201427
0.99082 1.08342 99.21482 0.3300195615
1.12396 0.98201 119.22261 0.7114802646
0.89241 0.87964 106.71554 0.327535698
1.04756 0.98688 86.933 0.3422514904
0.90589 0.87142 99.86722 0.3644129003
1.07955 1.0451 109.96017 0.4984063583
0.8064 0.99029 92.12406 1.0711038711
1.17511 0.97025 94.26594 0.7847890446
1.01908 1.04249 94.64337 0.2592866385
1.02445 0.89742 89.02927 0.3788457297
1.02712 0.87062 90.37483 0.5070046528
1.04614 0.8205 96.42387 0.9328948389
