dis_1 dis_2 ang_1 delta_har
0.95374 0.79129 77.20122 0.3114270407
1.12646 1.24738 99.45152 -1.1833308252
0.83949 0.90645 80.24605 0.1040101658
0.72375 1.06651 66.0489 0.8055070391
1.09528 1.06008 99.12911 -0.1666952092
0.8598 1.17733 98.55765 -0.4076904197
0.7307 1.11979 126.93144 0.8277050442
1.02134 0.79926 117.98325 0.2931096435
1.08153 0.77337 83.79894 0.3537173495
0.95694 1.05936 115.85253 -0.0454015063
1.10318 0.84624 84.08044 -0.0805364874
1.30714 1.02761 104.06322 -1.6578789568
1.02152 1.00789 80.22842 0.0471679049
1.38206 0.9652 84.04224 -2.5143425001
1.03463 0.79261 79.80508 0.2620759480
1.03018 0.97051 111.98806 -0.0172774016
1.41319 0.96403 128.08736 -3.1164077893
1.03625 0.7882 73.22811 0.2439058573
0.99329 0.99421 127.28672 -0.0074227376
1.21682 1.13824 110.22098 -1.0327721726
1.23857 0.80665 133.75931 -0.6459389026
0.93657 1.30317 104.31029 -1.5892373707
0.94481 1.19498 90.94579 -0.5433337076
0.66884 1.01082 123.81352 2.4331231052
1.12438 1.02538 128.29074 -0.1566540090
1.08241 1.08627 101.1128 -0.1933053405
1.32267 0.87449 120.67984 -1.7426338067
0.7786 1.08341 69.19291 0.1737845436
0.89826 1.06706 107.62898 -0.0492326855
1.01923 1.01777 121.62177 -0.0059908799
0.73059 1.02319 94.69316 1.0454065696
1.04997 0.92034 109.26454 -0.0347603553
1.03646 1.10444 111.59698 -0.1773800282
1.24422 1.0656 88.56947 -0.8581941248
1.12446 0.80369 84.96532 0.0101370785
0.86351 1.20478 87.10273 -0.5981986158
0.80677 1.06319 67.77491 0.0446292132
1.15813 0.75151 64.82173 0.0207930213
0.85519 1.10353 138.21615 -0.1935416345
0.98109 1.28694 78.84616 -1.1672754836
1.18937 0.81338 97.04372 -0.3234197832
0.96301 1.00483 136.18031 -0.0806052993
0.66538 1.10604 133.01178 2.3003228381
0.73617 1.00441 78.41362 0.8731116705
1.19304 1.2429 80.78981 -0.9887230365
1.15809 1.05207 74.41964 -0.1045948008
0.78068 0.9627 80.36802 0.4053155410
0.95907 1.17641 88.96932 -0.4119171157
1.27034 1.12042 90.83632 -1.2346544545
1.21192 0.7729 131.00826 -0.1835322586
0.80012 0.99201 116.80095 0.2958827545
0.88892 0.80835 146.72524 -0.4757554752
1.07213 0.86769 76.75511 -0.0585823113
1.26379 1.06666 114.8705 -1.2191300053
0.97552 0.80404 141.58334 -0.1372492634
1.13478 0.74278 85.75915 0.5321598437
0.80893 1.11215 92.30209 0.0560777847
1.00578 0.96692 89.79422 0.0074237556
0.99518 0.85994 108.60863 0.0665182105
0.93557 1.08105 128.51514 -0.0821327068
0.77971 1.22219 136.9036 -0.3843714626
